posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
79,nada + e5_tfidf_kg + taxonomia_rotulo,nada,e5_tfidf_kg,taxonomia_rotulo,1375,0.6071,0.4793,0.6938,0.7731,0.8625,0.4793,0.56
80,nada + e5_taxonomia + medidas_taxonomia,nada,e5_taxonomia,medidas_taxonomia,1375,0.625,0.5178,0.6909,0.7607,0.8196,0.5178,0.16
81,basico + e5_tfidf_taxonomia + graphrag_idf,basico,e5_tfidf_taxonomia,graphrag_idf,1375,0.59,0.4393,0.6909,0.7855,0.8851,0.4393,0.61
82,basico + e5_tfidf_taxonomia + medidas_graphrag_taxonomia,basico,e5_tfidf_taxonomia,medidas_graphrag_taxonomia,1375,0.5877,0.4371,0.6902,0.7869,0.8756,0.4371,0.67
83,nada + e5_tfidf + taxonomia_rotulo,nada,e5_tfidf,taxonomia_rotulo,1375,0.6154,0.4931,0.6895,0.7709,0.8633,0.4931,1.45
84,nada + e5_tfidf_kg + taxonomia,nada,e5_tfidf_kg,taxonomia,1375,0.5979,0.4655,0.6887,0.7724,0.8611,0.4655,0.5
85,nada + e5_kg + medidas,nada,e5_kg,medidas,1375,0.6015,0.4756,0.6844,0.7695,0.8495,0.4756,0.62
86,nada + e5_tfidf + taxonomia,nada,e5_tfidf,taxonomia,1375,0.612,0.4873,0.6836,0.7724,0.8698,0.4873,1.4
87,basico + e5_taxonomia + taxonomia_rotulo,basico,e5_taxonomia,taxonomia_rotulo,1375,0.6197,0.5178,0.6822,0.7498,0.8182,0.5178,0.22
88,basico + e5_kg + medidas,basico,e5_kg,medidas,1375,0.6082,0.4858,0.6815,0.7753,0.8473,0.4858,0.47
89,nada + e5_kg + medidas_graphrag_idf,nada,e5_kg,medidas_graphrag_idf,1375,0.5929,0.4655,0.68,0.7535,0.8422,0.4655,0.72
90,basico + e5_kg + medidas_graphrag_idf,basico,e5_kg,medidas_graphrag_idf,1375,0.5961,0.4713,0.6778,0.7615,0.8415,0.4713,0.57
91,basico + e5_tfidf_taxonomia + taxonomia_rotulo,basico,e5_tfidf_taxonomia,taxonomia_rotulo,1375,0.5635,0.4058,0.6771,0.7622,0.8625,0.4058,0.57
92,basico + e5_tfidf_taxonomia + medidas_taxonomia,basico,e5_tfidf_taxonomia,medidas_taxonomia,1375,0.575,0.424,0.6764,0.7665,0.8669,0.424,0.57
93,nada + e5_kg + nada,nada,e5_kg,nada,1375,0.5983,0.4742,0.6756,0.7571,0.8385,0.4742,0.56
94,basico + e5_kg + nada,basico,e5_kg,nada,1375,0.6028,0.4822,0.6742,0.7636,0.8349,0.4822,0.41
95,nada + e5_tfidf_taxonomia + taxonomia_rotulo,nada,e5_tfidf_taxonomia,taxonomia_rotulo,1375,0.5698,0.4182,0.6727,0.7709,0.8618,0.4182,0.65
96,nada + e5_tfidf_taxonomia + medidas_graphrag_taxonomia,nada,e5_tfidf_taxonomia,medidas_graphrag_taxonomia,1375,0.5828,0.4378,0.6713,0.7673,0.8633,0.4378,0.73
